Work_experience,Gender,Age,Education_level,Functions_used,Usage_frequency,ES_Name,Mobile_device,Device_ownership,system_integrity,system_availability,system_confidentiality,system_accountability,system_nonrepudiation,PSave,Install_firewall,BYOD,Ignore_warnning,Strong_pin,Store_passwords,update_OS,MDave,public_WiFi,unsecured_network,network_control,network_attack,encrypted_transimittion,unreliable_int,WNave,cloud_resource,cloud_compute,remote_datastore,Data_regulation,multiple_login,weak_authentication,Cloudave,unknown_app,update_ES,Auto_update,VPN,third_party_app,update,APPave,single_authenticate,audit_log,access_right,change_data,malicious_attack,Data_threats,DATAave,treat
6-10year,Female,20-29,college,Human Resource,1-2 times per day,Other,others,Company owned,10,10,10,10,10,10,7,8,5,8,5,9,7,5,5,5,5,5,5,5,8,9,9,9,8,8,8.5,8,9,9,8,8,8,8.33,10,10,9,9,10,4,8.67,0
more than 10 year,Female,30-39,master degree,accounting,1-2 times per day,Kingdee,iPhone,User owned,10,10,6,10,10,9.2,2,2,5,0,2,5,2.67,7,4,6,7,3,7,5.67,9,9,10,10,7,6,8.5,9,9,6,8,8,9,8.17,3,2,2,2,2,3,2.33,1
1-2year,Intersex,30-39,undergraduate,Human Resource,6-10 times per day,Yonyou,Samsung phone,Company owned,9,9,9,9,9,9,6,7,8,7,8,8,7.33,8,9,9,10,10,10,9.33,3,1,4,6,4,4,3.67,9,6,9,8,5,8,7.5,8,9,8,8,9,8,8.33,0
1-2year,Male,30-39,undergraduate,Manufacturing,1-2 times per day,Yonyou,iPhone,User owned,9,9,9,9,9,9,7,8,8,7,8,8,7.67,8,8,9,9,9,10,8.83,7,7,7,8,8,2,6.5,6,7,7,7,7,7,6.83,6,7,7,7,8,8,7.17,1
more than 10 year,Male,more than 50,Phd degree,sales,6-10 times per day,Yonyou,Samsung phone,Both,9,9,9,9,9,9,8,9,7,7,8,8,7.83,7,8,8,7,7,6,7.17,8,8,9,9,10,8,8.67,8,9,9,9,9,9,8.83,9,9,8,8,9,9,8.67,0
3-5year,Female,30-39,undergraduate,inventory,1-2 times per day,Other,iPhone,User owned,10,10,10,7,7,8.8,8,3,1,6,9,7,5.67,6,6,6,6,6,6,6,7,7,7,8,8,8,7.5,7,8,8,4,7,7,6.83,9,9,9,9,10,9,9.17,1
3-5year,Intersex,more than 50,Phd degree,inventory,6-10 times per day,Yonyou,Huawei tablet,User owned,8,9,9,8,9,8.6,8,9,5,7,8,6,7.17,8,9,9,9,10,10,9.17,10,9,10,7,6,7,8.17,8,8,9,7,7,8,7.83,4,6,6,7,7,7,6.17,0
1-2year,Male,20-29,undergraduate,accounting,3-5 times per day,Other,iPhone,User owned,10,10,8,7,8,8.6,7,7,6,6,6,8,6.67,6,6,6,6,6,7,6.17,6,7,7,8,8,8,7.33,8,8,8,8,8,7,7.83,6,5,5,6,5,6,5.5,1
3-5year,Male,30-39,undergraduate,Procurement,6-10 times per day,Kingdee,Huawei phone,User owned,7,8,8,9,9,8.2,7,8,8,7,8,8,7.67,7,7,8,8,8,9,7.83,7,7,8,8,8,8,7.67,7,8,8,9,9,9,8.33,7,7,7,7,8,8,7.33,0
1-2year,Male,30-39,college,Human Resource,3-5 times per day,Kingdee,iPhone,User owned,8,8,9,8,8,8.2,6,2,7,6,8,5,5.67,8,8,9,9,9,9,8.67,6,5,7,7,6,7,6.33,7,7,8,8,4,7,6.83,7,7,7,8,8,8,7.5,1
6-10year,Male,20-29,Phd degree,sales,1-2 times per day,NERP,Huawei phone,User owned,8,8,8,8,8,8,6,6,8,6,9,7,7,7,8,8,3,4,7,6.17,7,7,2,7,7,7,6.17,6,7,4,6,7,7,6.17,8,4,6,7,7,7,6.5,0
1-2year,Male,30-39,master degree,Finance,6-10 times per day,Kingdee,Sony phone,Company owned,8,9,7,8,8,8,9,9,7,6,9,7,7.83,6,6,6,6,5,5,5.67,4,4,4,6,5,5,4.67,7,7,7,7,7,8,7.17,6,5,5,6,5,6,5.5,0
1-2year,Male,20-29,undergraduate,Budget,1-2 times per day,Superdata software,Huawei phone,User owned,8,8,8,8,8,8,6,7,8,7,8,8,7.33,6,6,7,6,8,7,6.67,8,8,8,8,9,8,8.17,9,7,8,8,8,9,8.17,5,6,6,7,7,7,6.33,0
3-5year,Male,20-29,Phd degree,Finance,6-10 times per day,Kingdee,iPhone,User owned,8,8,8,8,8,8,8,9,5,8,7,8,7.5,4,6,7,7,8,8,6.67,7,7,8,8,9,2,6.83,7,4,7,8,8,8,7,4,6,6,7,7,7,6.17,1
3-5year,Male,30-39,college,Finance,6-10 times per day,Yonyou,Huawei phone,User owned,8,8,8,8,8,8,6,6,6,6,6,6,6,7,8,8,7,6,6,7,8,8,8,8,9,8,8.17,8,8,9,8,9,9,8.5,8,8,8,6,7,7,7.33,0
3-5year,Male,30-39,master degree,sales,6-10 times per day,Yonyou,Huawei tablet,User owned,8,9,8,7,8,8,6,6,8,7,5,9,6.83,7,8,8,8,9,9,8.17,7,7,8,8,9,8,7.83,7,7,7,8,9,9,7.83,6,6,7,7,8,8,7,0
1-2year,Male,20-29,master degree,accounting,6-10 times per day,Yonyou,Huawei tablet,User owned,8,8,8,8,8,8,6,6,6,8,5,7,6.33,7,8,8,7,6,7,7.17,4,5,5,5,5,5,4.83,7,8,8,6,7,7,7.17,7,7,7,7,8,8,7.33,0
3-5year,Male,20-29,high school,sales,6-10 times per day,Kingdee,Huawei phone,User owned,8,8,8,8,8,8,6,6,6,8,5,7,6.33,8,9,9,7,9,7,8.17,8,8,8,8,9,2,7.17,5,7,7,8,9,8,7.33,6,6,7,7,8,8,7,0
1-2year,Male,more than 50,Phd degree,Manufacturing,6-10 times per day,Yonyou,Samsung tablet,Both,8,8,9,8,6,7.8,6,2,7,4,9,5,5.5,7,7,7,8,9,8,7.67,7,7,8,8,8,8,7.67,7,8,8,7,9,9,8,6,6,6,7,8,7,6.67,0
1-2year,Male,20-29,Phd degree,accounting,6-10 times per day,Yonyou,Samsung phone,Both,6,8,8,8,9,7.8,6,3,10,7,8,8,7,7,7,8,8,9,9,8,5,5,5,6,6,6,5.5,8,9,9,8,8,8,8.33,9,9,8,8,9,9,8.67,0
6-10year,Male,40-49,college,Budget,6-10 times per day,Kingdee,Huawei phone,User owned,7,8,8,8,8,7.8,6,7,5,7,8,6,6.5,7,8,8,7,8,7,7.5,6,6,6,6,6,6,6,8,8,8,8,9,9,8.33,7,7,7,6,7,7,6.83,0
1-2year,Male,less than 20,undergraduate,Human Resource,6-10 times per day,Yonyou,Huawei phone,User owned,8,8,7,8,8,7.8,6,6,4,5,6,4,5.17,6,6,7,6,7,7,6.5,5,5,5,6,5,5,5.17,8,8,8,5,8,8,7.5,6,6,7,6,7,7,6.5,0
6-10year,Male,30-39,master degree,Budget,1-2 times per day,NERP,Huawei phone,User owned,8,9,8,6,8,7.8,7,7,8,7,5,9,7.17,8,9,9,9,9,10,9,7,6,7,7,7,7,6.83,6,7,7,7,7,7,6.83,9,9,8,8,9,9,8.67,0
6-10year,Male,20-29,college,Human Resource,6-10 times per day,Yonyou,Samsung tablet,Both,8,7,8,8,7,7.6,7,8,8,7,8,2,6.67,9,9,10,7,8,6,8.17,5,5,5,7,6,6,5.67,7,8,8,8,4,7,7,8,8,8,8,9,8,8.17,0
1-2year,Male,20-29,undergraduate,Finance,3-5 times per day,Kingdee,iPhone,User owned,8,8,9,8,5,7.6,4,5,7,4,7,6,5.5,5,5,5,5,5,5,5,8,8,7,7,7,7,7.33,9,9,9,10,7,4,8,6,6,6,7,8,8,6.83,1
3-5year,Male,less than 20,high school,Human Resource,1-2 times per day,NERP,iPhone,User owned,5,8,8,8,9,7.6,5,5,7,4,5,7,5.5,8,8,9,3,3,7,6.33,6,6,7,7,7,7,6.67,6,6,6,6,6,7,6.17,8,8,8,8,8,8,8,1
less than 1 year,Male,more than 50,master degree,accounting,6-10 times per day,Yonyou,Huawei tablet,User owned,6,8,8,8,8,7.6,7,5,7,4,5,7,5.83,7,7,8,5,8,3,6.33,6,7,7,7,3,7,6.17,7,8,8,8,9,9,8.17,7,7,7,7,8,8,7.33,0
3-5year,Male,20-29,Phd degree,accounting,6-10 times per day,Yonyou,Huawei tablet,User owned,8,7,7,7,8,7.4,5,5,7,4,5,7,5.5,8,8,8,7,8,7,7.67,8,8,6,7,7,7,7.17,6,6,6,7,8,8,6.83,7,7,7,7,8,8,7.33,0
6-10year,Female,more than 50,master degree,Procurement,More than 10 times per day,Kingdee,blackberry phone,User owned,9,9,5,8,5,7.2,9,9,7,7,8,8,8,7,8,8,9,8,7,7.83,5,4,4,4,3,3,3.83,7,7,7,7,7,8,7.17,7,7,7,7,8,8,7.33,0
less than 1 year,Female,20-29,Phd degree,accounting,More than 10 times per day,Yonyou,Huawei tablet,User owned,8,8,6,8,6,7.2,8,9,4,7,8,7,7.17,7,7,8,8,3,7,6.67,7,7,6,7,7,5,6.5,7,8,8,7,7,8,7.5,7,7,7,8,8,8,7.5,0
3-5year,Male,20-29,high school,Finance,6-10 times per day,Yonyou,Huawei phone,User owned,7,6,9,8,5,7,5,7,5,7,8,5,6.17,7,8,8,7,5,7,7,7,3,7,7,7,7,6.33,9,9,9,7,7,8,8.17,8,9,8,8,9,8,8.33,0
6-10year,Male,20-29,master degree,Human Resource,More than 10 times per day,Yonyou,Huawei phone,User owned,7,6,7,8,7,7,6,7,5,7,8,5,6.33,7,8,8,8,7,9,7.83,9,9,9,9,10,9,9.17,6,7,6,6,5,5,5.83,7,7,7,6,7,5,6.5,0
3-5year,Male,20-29,undergraduate,sales,6-10 times per day,Kingdee,iPhone,User owned,7,7,6,8,7,7,8,9,5,7,8,6,7.17,4,6,7,7,7,8,6.5,7,3,7,7,7,7,6.33,5,4,4,4,4,4,4.17,6,5,5,6,5,6,5.5,1
3-5year,Female,20-29,college,accounting,1-2 times per day,Superdata software,Ipad,User owned,6,6,7,9,7,7,7,7,8,4,7,8,6.83,7,7,7,4,7,7,6.5,5,5,5,6,6,6,5.5,6,7,7,8,9,9,7.67,5,6,6,7,7,7,6.33,0
1-2year,Male,30-39,Phd degree,sales,6-10 times per day,Yonyou,Huawei tablet,User owned,6,6,8,8,7,7,6,6,8,4,7,8,6.5,3,3,4,4,4,3,3.5,7,7,8,8,8,5,7.17,5,6,6,6,7,6,6,7,7,4,6,6,7,6.17,0
more than 10 year,Male,20-29,master degree,Finance,6-10 times per day,Yonyou,Huawei phone,User owned,7,7,7,7,7,7,10,10,7,7,7,6,7.83,5,5,5,5,7,6,5.5,6,7,6,7,7,7,6.67,4,6,7,7,7,7,6.33,5,5,6,6,6,5,5.5,0
1-2year,Male,40-49,college,Finance,1-2 times per day,Yonyou,iPhone,User owned,7,7,7,7,7,7,6,7,5,8,7,6,6.5,7,7,7,7,6,5,6.5,6,6,6,7,6,6,6.17,5,6,6,5,6,5,5.5,6,6,6,6,6,6,6,1
less than 1 year,Male,20-29,high school,Human Resource,6-10 times per day,Yonyou,Huawei tablet,User owned,8,8,6,5,8,7,6,6,9,6,6,8,6.83,2,3,6,3,1,2,2.83,7,6,5,5,5,5,5.5,6,5,3,4,7,7,5.33,7,4,6,7,6,7,6.17,0
6-10year,Male,40-49,undergraduate,inventory,3-5 times per day,Inspur,Samsung phone,Company owned,8,7,5,8,7,7,9,7,6,6,6,6,6.67,0,6,7,7,8,8,6,7,7,6,7,7,7,6.83,7,7,5,7,8,6,6.67,7,7,4,7,7,7,6.5,0
more than 10 year,Male,less than 20,undergraduate,Human Resource,6-10 times per day,Kingdee,Huawei phone,User owned,7,7,8,7,6,7,5,6,4,5,6,4,5,6,7,7,7,3,8,6.33,6,7,7,7,7,7,6.83,7,8,7,8,8,7,7.5,5,4,4,4,4,4,4.17,0
6-10year,Genderfluid,30-39,high school,Procurement,6-10 times per day,Kingdee,Huawei phone,User owned,7,7,7,7,7,7,6,2,7,7,5,7,5.67,6,7,7,7,8,8,7.17,3,3,4,5,4,4,3.83,5,7,7,7,7,4,6.17,7,7,7,6,7,7,6.83,0
3-5year,Male,20-29,college,Finance,6-10 times per day,Yonyou,Huawei phone,User owned,7,7,7,7,7,7,4,4,7,4,5,7,5.17,7,7,7,7,7,7,7,6,5,5,6,5,5,5.33,3,4,4,5,5,5,4.33,6,6,6,6,5,6,5.83,0
3-5year,Male,20-29,undergraduate,Human Resource,3-5 times per day,Inspur,iPhone,Company owned,10,10,5,5,5,7,5,6,4,9,5,9,6.33,3,4,3,4,4,4,3.67,9,9,9,10,10,9,9.33,0,2,0,3,2,3,1.67,7,7,7,7,8,8,7.33,1
6-10year,Female,40-49,undergraduate,inventory,6-10 times per day,Yonyou,Huawei tablet,Company owned,7,7,8,5,8,7,5,5,5,7,4,5,5.17,7,7,7,7,5,6,6.5,2,3,4,5,4,4,3.67,7,8,7,8,7,6,7.17,6,6,6,7,8,7,6.67,0
3-5year,Male,20-29,college,Budget,1-2 times per day,Yonyou,iPhone,User owned,7,8,6,9,4,6.8,9,5,9,8,8,6,7.5,3,4,4,4,4,4,3.83,7,7,7,8,3,7,6.5,6,6,6,7,6,7,6.33,7,7,7,7,8,4,6.67,1
3-5year,Female,30-39,master degree,inventory,3-5 times per day,Kingdee,iPhone,User owned,7,7,7,7,6,6.8,7,8,5,8,7,6,6.83,7,7,7,8,7,5,6.83,6,7,6,6,7,6,6.33,5,7,7,4,5,7,5.83,3,5,6,5,6,6,5.17,1
6-10year,Male,20-29,undergraduate,Finance,3-5 times per day,NEWGRAND Software,Huawei phone,User owned,7,7,7,7,6,6.8,6,6,6,6,6,6,6,7,7,7,8,7,3,6.5,3,3,3,4,3,3,3.17,7,7,7,6,7,7,6.83,6,6,6,6,5,6,5.83,0
6-10year,Male,20-29,college,accounting,6-10 times per day,Yonyou,Huawei tablet,User owned,5,7,7,7,8,6.8,6,6,4,5,6,4,5.17,7,7,8,7,5,7,6.83,5,5,5,6,6,6,5.5,6,7,4,7,7,8,6.5,7,7,7,7,8,8,7.33,0
less than 1 year,Non-binary gender,less than 20,undergraduate,Human Resource,6-10 times per day,Yonyou,Samsung phone,User owned,8,6,4,8,8,6.8,5,5,2,6,6,5,4.83,6,6,6,6,4,5,5.5,6,7,7,7,7,7,6.83,5,5,5,6,6,6,5.5,6,6,6,7,7,4,6,0
6-10year,Intersex,40-49,undergraduate,inventory,More than 10 times per day,Yonyou,Huawei tablet,User owned,7,6,7,7,7,6.8,4,4,5,3,5,5,4.33,7,7,7,8,9,4,7,6,7,6,7,7,7,6.67,6,7,7,4,5,7,6,8,8,8,8,8,8,8,0
6-10year,Male,20-29,undergraduate,Finance,6-10 times per day,Kingdee,Huawei phone,User owned,7,7,7,6,7,6.8,4,4,5,5,5,5,4.67,6,7,7,7,8,8,7.17,5,4,4,5,4,4,4.33,5,6,5,5,5,5,5.17,5,5,6,6,6,6,5.67,0
1-2year,Male,20-29,undergraduate,accounting,3-5 times per day,Kingdee,iPhone,User owned,7,7,7,7,6,6.8,5,7,4,7,5,8,6,6,6,7,6,6,6,6.17,6,7,6,6,7,6,6.33,7,7,6,7,6,7,6.67,8,8,6,7,6,7,7,1
less than 1 year,Intersex,20-29,master degree,inventory,3-5 times per day,NERP,iPhone,User owned,6,9,5,7,7,6.8,5,5,5,5,4,7,5.17,5,6,7,5,6,5,5.67,5,5,5,6,6,6,5.5,7,8,4,7,8,8,7,7,7,6,7,6,7,6.67,1
6-10year,Male,more than 50,high school,accounting,1-2 times per day,NERP,iPhone,User owned,7,6,7,7,7,6.8,5,5,4,5,4,5,4.67,4,4,4,4,3,4,3.83,4,4,4,4,3,3,3.67,6,6,6,5,6,5,5.67,4,4,5,5,5,5,4.67,1
3-5year,Male,30-39,undergraduate,Finance,6-10 times per day,Kingdee,Huawei phone,User owned,6,7,7,7,7,6.8,1,3,4,5,3,4,3.33,7,5,7,7,7,7,6.67,6,5,5,5,5,5,5.17,6,6,6,5,6,5,5.67,5,6,6,6,6,6,5.83,0
1-2year,Female,40-49,undergraduate,Human Resource,More than 10 times per day,Kingdee,Sony phone,User owned,7,8,5,5,8,6.6,6,7,8,6,9,7,7.17,7,8,8,8,6,9,7.67,10,10,7,7,7,7,8,5,7,7,8,4,7,6.33,7,7,7,8,8,8,7.5,0
1-2year,Female,20-29,undergraduate,sales,1-2 times per day,Yonyou,iPhone,Company owned,6,6,4,9,8,6.6,6,7,2,6,9,7,6.17,8,9,10,10,4,7,8,8,8,8,9,9,8,8.33,7,8,8,8,9,9,8.17,7,7,7,7,8,8,7.33,1
3-5year,Male,20-29,high school,Human Resource,1-2 times per day,NERP,iPhone,User owned,6,6,8,7,6,6.6,7,8,8,7,8,8,7.67,7,6,6,7,8,7,6.83,6,6,6,6,6,6,6,4,4,5,5,5,5,4.67,5,5,6,6,6,6,5.67,1
more than 10 year,Male,30-39,Phd degree,Procurement,6-10 times per day,Kingdee,Huawei phone,User owned,8,7,6,7,5,6.6,6,6,9,4,7,6,6.33,8,4,6,7,7,7,6.5,8,8,9,7,7,7,7.67,6,6,6,5,6,5,5.67,5,5,5,5,6,5,5.17,0
3-5year,Male,20-29,undergraduate,Finance,1-2 times per day,Kingdee,Huawei phone,User owned,6,6,6,8,7,6.6,4,5,7,6,6,6,5.67,5,4,3,3,5,3,3.83,7,7,8,8,8,8,7.67,5,4,4,4,4,4,4.17,5,5,6,5,5,5,5.17,0
1-2year,Male,20-29,high school,Human Resource,6-10 times per day,Kingdee,iPhone,User owned,7,6,6,7,7,6.6,7,7,6,6,1,5,5.33,3,3,4,3,4,2,3.17,6,7,7,7,7,7,6.83,3,3,4,4,4,4,3.67,6,5,5,6,5,5,5.33,1
3-5year,Male,20-29,college,accounting,1-2 times per day,Kingdee,Huawei phone,User owned,6,6,6,8,7,6.6,5,5,5,5,5,5,5,8,4,6,7,7,7,6.5,7,7,8,8,8,8,7.67,4,4,3,4,4,7,4.33,3,4,5,5,5,5,4.5,0
3-5year,Female,20-29,Phd degree,Human Resource,3-5 times per day,Kingdee,iPhone,User owned,5,8,7,6,7,6.6,6,6,4,7,5,5,5.5,7,7,8,4,5,7,6.33,7,7,7,8,8,8,7.5,6,6,6,5,6,5,5.67,7,7,6,5,6,5,6,1
3-5year,Female,30-39,college,inventory,6-10 times per day,Kingdee,Huawei phone,User owned,6,8,6,7,6,6.6,4,4,7,8,4,7,5.67,7,7,7,3,7,7,6.33,6,7,6,6,7,6,6.33,3,4,4,5,5,5,4.33,7,7,8,8,6,7,7.17,0
3-5year,Male,20-29,college,accounting,6-10 times per day,Yonyou,Sony phone,User owned,8,8,6,5,6,6.6,4,3,4,4,4,4,3.83,5,6,7,7,6,8,6.5,7,7,7,5,7,7,6.67,4,6,6,7,8,6,6.17,5,3,3,4,4,5,4,0
1-2year,Female,20-29,high school,accounting,3-5 times per day,Kingdee,iPhone,User owned,7,7,5,7,7,6.6,4,4,5,5,3,5,4.33,6,7,4,7,7,7,6.33,5,5,4,5,4,4,4.5,6,7,5,5,5,6,5.67,6,5,5,6,5,6,5.5,1
less than 1 year,Intersex,less than 20,undergraduate,Manufacturing,More than 10 times per day,Inspur,Ipad,Both,6,5,6,7,8,6.4,5,5,6,6,8,7,6.17,6,6,6,6,5,5,5.67,8,8,9,9,10,8,8.67,3,3,2,4,4,3,3.17,7,7,7,7,8,6,7,0
3-5year,Male,more than 50,college,Human Resource,3-5 times per day,Kingdee,iPhone,User owned,7,6,7,5,7,6.4,5,6,4,5,6,4,5,6,6,6,6,6,6,6,6,7,6,5,7,6,6.17,6,5,5,5,4,4,4.83,7,7,7,5,6,5,6.17,1
1-2year,Male,less than 20,high school,inventory,3-5 times per day,NERP,Huawei phone,User owned,5,6,8,6,7,6.4,4,4,7,8,5,7,5.83,2,6,7,7,8,8,6.33,7,7,8,8,8,8,7.67,7,8,8,4,7,7,6.83,6,6,7,7,8,8,7,0
more than 10 year,Female,20-29,high school,inventory,3-5 times per day,NERP,Huawei phone,User owned,6,7,7,5,7,6.4,4,4,7,4,5,7,5.17,6,6,7,6,7,7,6.5,3,3,3,4,3,3,3.17,6,5,5,6,6,6,5.67,6,6,7,7,8,8,7,0
3-5year,Female,30-39,undergraduate,inventory,3-5 times per day,Kingdee,Huawei phone,User owned,7,7,6,6,6,6.4,5,5,7,4,5,7,5.5,5,5,5,5,5,5,5,7,6,7,7,6,7,6.67,5,6,6,6,6,7,6,6,5,5,6,5,6,5.5,0
6-10year,Male,40-49,college,Manufacturing,1-2 times per day,Yonyou,iPhone,User owned,5,5,6,9,7,6.4,5,5,5,5,5,5,5,10,2,6,7,7,7,6.5,8,8,8,9,9,8,8.33,3,3,4,4,4,4,3.67,6,6,6,6,6,6,6,1
3-5year,Male,30-39,undergraduate,inventory,6-10 times per day,Kingdee,Huawei phone,User owned,7,7,6,6,6,6.4,5,5,5,5,5,5,5,6,7,7,7,7,8,7,6,7,6,7,7,7,6.67,5,6,6,5,6,5,5.5,6,5,6,5,6,6,5.67,0
1-2year,Male,30-39,undergraduate,accounting,3-5 times per day,Kingdee,iPhone,User owned,6,6,6,7,6,6.2,7,9,8,4,10,7,7.5,4,5,5,5,4,5,4.67,5,5,5,6,5,5,5.17,3,3,4,4,5,6,4.17,4,5,6,6,4,5,5,1
more than 10 year,Male,20-29,college,Human Resource,6-10 times per day,Kingdee,Huawei phone,User owned,6,5,7,7,6,6.2,6,6,6,4,7,6,5.83,7,7,7,8,8,8,7.5,7,7,6,6,7,6,6.5,6,6,5,6,5,5,5.5,6,5,5,5,6,5,5.33,0
1-2year,Male,20-29,master degree,Human Resource,More than 10 times per day,Yonyou,iPhone,User owned,6,7,5,7,6,6.2,5,5,6,4,1,6,4.5,6,7,6,6,6,6,6.17,4,4,4,6,5,5,4.67,3,3,4,3,4,4,3.5,3,4,5,6,5,5,4.67,1
3-5year,Male,30-39,Phd degree,Human Resource,3-5 times per day,Kingdee,iPhone,User owned,7,6,7,4,7,6.2,6,7,1,8,7,6,5.83,7,7,6,7,6,7,6.67,4,5,5,5,5,5,4.83,5,4,5,5,4,4,4.5,8,8,6,6,6,5,6.5,1
6-10year,Male,40-49,undergraduate,accounting,3-5 times per day,Kingdee,iPhone,User owned,6,6,7,5,7,6.2,7,7,8,6,6,8,7,5,5,6,5,5,6,5.33,5,5,5,6,6,6,5.5,4,4,5,6,6,6,5.17,6,6,7,7,6,7,6.5,1
1-2year,Male,20-29,college,accounting,3-5 times per day,Kingdee,iPhone,User owned,6,7,6,7,5,6.2,7,7,6,6,6,6,6.33,5,5,5,5,6,5,5.17,5,5,5,6,6,6,5.5,3,3,4,4,5,5,4,4,5,5,5,4,5,4.67,1
